title,country,city,link,protocol,ip,port,domain,as_organization,host
,CN,Beijing,http://s480.ios.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s480.ios.js.xd.com
,CN,Beijing,http://s906.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s906.js.xd.com
,CN,,https://www.sw.zf.xd.com,https,203.107.33.10,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://www.sw.zf.xd.com
,CN,Beijing,https://s627.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s627.js.xd.com
,CN,Beijing,https://s450.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s450.ios.js.xd.com
,CN,Beijing,https://s908.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s908.ios.js.xd.com
,CN,Beijing,https://s1301.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s1301.ios.js.xd.com
,CN,Beijing,https://s712.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s712.ios.js.xd.com
,CN,Beijing,https://s995.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s995.ios.js.xd.com
,CN,Beijing,https://s1006.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s1006.ios.js.xd.com
,CN,Beijing,http://s1256.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s1256.js.xd.com
,CN,Beijing,http://s716.511wan.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s716.511wan.js.xd.com
,CN,Beijing,http://s477.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s477.js.xd.com
,CN,Beijing,https://s1372.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s1372.ios.js.xd.com
,CN,Beijing,https://s268.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s268.ios.js.xd.com
,CN,Beijing,https://s760.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s760.ios.js.xd.com
,CN,Beijing,https://s988.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s988.js.xd.com
,CN,Beijing,http://s379.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s379.js.xd.com
,CN,Beijing,http://s443.ios.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s443.ios.js.xd.com
,CN,,https://3987.zf.xd.com,https,203.107.33.10,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://3987.zf.xd.com
,CN,Beijing,https://s334.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s334.ios.js.xd.com
,CN,Beijing,http://s1248.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s1248.js.xd.com
,CN,Beijing,https://s443.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s443.ios.js.xd.com
,CN,Beijing,http://s625.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s625.js.xd.com
,CN,Beijing,http://s924.ios.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s924.ios.js.xd.com
,CN,Beijing,https://s949.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s949.ios.js.xd.com
,CN,Beijing,http://s639.ios.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s639.ios.js.xd.com
,CN,Beijing,https://s692.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s692.js.xd.com
,CN,Beijing,http://s1480.ios.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s1480.ios.js.xd.com
,CN,Beijing,http://s1621.ios.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s1621.ios.js.xd.com
,CN,Beijing,http://s866.ios.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s866.ios.js.xd.com
,CN,Beijing,https://s94.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s94.ios.js.xd.com
,CN,Beijing,http://s268.ios.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s268.ios.js.xd.com
,CN,Beijing,http://s786.ios.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s786.ios.js.xd.com
,CN,Beijing,https://s951.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s951.js.xd.com
,CN,Beijing,http://s67.ios.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s67.ios.js.xd.com
,CN,Beijing,https://s863.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s863.ios.js.xd.com
,CN,Beijing,https://bug.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://bug.js.xd.com
,CN,Beijing,https://s209.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s209.ios.js.xd.com
,CN,Beijing,https://s465.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s465.ios.js.xd.com
,CN,Beijing,https://s986.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s986.ios.js.xd.com
,CN,Beijing,http://s318.js.xd.com,http,47.93.13.168,80,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",s318.js.xd.com
,CN,Beijing,https://s198.ios.js.xd.com,https,47.93.13.168,443,xd.com,"Hangzhou Alibaba Advertising Co.,Ltd.",https://s198.ios.js.xd.com
